County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022
UVALDE COUNTY,UVALDE CISD,48463,232903,280.47,723.89,4273.0,278.92,733.98,4150.0,293.01,738.3,4116.0
MARION COUNTY,VALLEY MILLS ISD,48309,18904,50.49,94.1,650.0,55.24,94.73,618.0,55.52,98.08,620.0
HIDALGO COUNTY,VALLEY VIEW ISD,48215,108916,278.75,672.85,4438.0,273.79,660.15,4132.0,241.79,599.8,3790.0
TRAVIS COUNTY,VALOR PUBLIC SCHOOLS,48453,227829,25.41,38.51,459.0,59.77,94.07,1091.0,85.39,139.84,1378.0
GRAYSON COUNTY,VAN ALSTYNE ISD,48181,91908,110.72,205.81,1707.0,124.79,228.63,1868.0,143.32,253.81,2048.0
VAN ZANDT COUNTY,VAN ISD,48467,234906,152.32,322.11,2420.0,152.09,314.38,2354.0,159.42,354.74,2373.0
MCLENNAN COUNTY,VAN VLECK ISD,48321,158906,77.42,153.38,1045.0,78.8,164.48,1056.0,77.72,166.57,1080.0
HIDALGO COUNTY,VANGUARD ACADEMY,48215,108808,246.61,450.37,4180.0,274.8,515.92,4906.0,349.91,748.53,5364.0
OLDHAM COUNTY,VEGA ISD,48359,180902,40.01,67.38,380.0,41.67,69.97,360.0,45.67,73.73,370.0
JOHNSON COUNTY,VENUS ISD,48251,126908,147.81,283.77,2203.0,164.51,314.76,2197.0,175.48,330.89,2303.0
TOM GREEN COUNTY,VERIBEST ISD,48451,226908,22.87,42.66,285.0,23.0,43.31,258.0,23.02,45.73,278.0
WILBARGER COUNTY,VERNON ISD,48487,244903,141.36,284.5,1984.0,144.51,314.34,1899.0,138.03,313.67,1871.0
VICTORIA COUNTY,VICTORIA ISD,48469,235902,985.15,2161.75,14118.0,936.23,2049.69,13479.0,857.66,1924.53,13301.0
ORANGE COUNTY,VIDOR ISD,48361,181907,331.66,708.45,4548.0,323.38,700.43,4236.0,309.34,712.83,4265.0
DALLAS COUNTY,VILLAGE TECH SCHOOLS,48113,57847,62.03,101.2,1115.0,60.96,100.26,1203.0,69.13,126.73,1232.0
EL PASO COUNTY,VISTA DEL FUTURO CHARTER SCHOOL,48141,71809,16.85,50.2,368.0,15.21,51.69,249.0,20.08,62.8,340.0
LAVACA COUNTY,VYSEHRAD ISD,48285,143904,11.14,18.75,126.0,11.31,20.75,107.0,11.01,20.25,111.0
MARION COUNTY,WACO CHARTER SCHOOL,48309,161801,12.39,30.66,212.0,18.0,35.31,223.0,17.75,34.58,193.0
MARION COUNTY,WACO ISD,48309,161914,982.17,2310.8,14756.0,1002.72,2316.34,14428.0,1011.13,2302.79,14086.0
GONZALES COUNTY,WAELDER ISD,48177,89905,30.0,57.11,317.0,27.79,62.57,298.0,31.55,68.38,305.0
DEAF SMITH COUNTY,WALCOTT ISD,48117,59902,9.89,22.38,146.0,9.7,23.42,142.0,9.79,23.72,152.0
TOM GREEN COUNTY,WALL ISD,48451,226906,113.01,204.12,1179.0,121.19,222.32,1258.0,123.85,225.58,1290.0
WALLER COUNTY,WALLER ISD,48473,237904,464.56,1012.53,7403.0,535.17,1147.51,7762.0,519.58,1111.03,8386.0
COOKE COUNTY,WALNUT BEND ISD,48097,49908,5.84,15.51,80.0,5.84,15.89,58.0,6.32,12.59,56.0
BOSQUE COUNTY,WALNUT SPRINGS ISD,48035,18905,18.45,30.62,187.0,20.0,32.5,170.0,21.28,32.23,178.0
TYLER COUNTY,WARREN ISD,48457,229904,94.01,185.25,1277.0,97.88,201.94,1268.0,99.3,202.25,1263.0
HARRISON COUNTY,WASKOM ISD,48203,102903,75.99,156.62,903.0,76.3,158.58,824.0,71.98,156.14,845.0
DALLAS COUNTY,WAXAHACHIE FAITH FAMILY ACADEMY,48113,70801,148.06,311.22,2646.0,123.32,282.22,2686.0,137.19,326.1,2586.0
ELLIS COUNTY,WAXAHACHIE ISD,48139,70912,639.52,1291.35,8937.0,714.72,1521.96,9679.0,714.52,1522.46,10095.0
TRAVIS COUNTY,WAYSIDE SCHOOLS,48453,227803,157.08,256.97,2095.0,129.14,210.98,1861.0,121.38,202.98,1643.0
PARKER COUNTY,WEATHERFORD ISD,48367,184903,522.43,1003.41,8081.0,561.82,1087.69,8024.0,571.82,1114.14,8034.0
WEBB COUNTY,WEBB CISD,48479,240904,26.83,62.15,268.0,29.99,65.77,269.0,29.08,59.69,264.0
COLORADO COUNTY,WEIMAR ISD,48089,45905,59.08,110.94,673.0,60.71,114.24,670.0,61.36,118.4,688.0
COLLINGSWORTH COUNTY,WELLINGTON ISD,48087,44902,55.66,100.93,586.0,54.26,101.35,542.0,53.05,102.33,543.0
TERRY COUNTY,WELLMAN-UNION CISD,48445,223904,26.18,47.07,335.0,25.59,49.59,308.0,25.92,51.65,284.0
CHEROKEE COUNTY,WELLS ISD,48073,37909,28.37,54.02,298.0,27.49,51.85,263.0,22.01,46.35,258.0
HIDALGO COUNTY,WESLACO ISD,48215,108913,1100.77,2334.33,17275.0,1042.71,2227.05,16571.0,1042.11,2214.84,15639.0
HARDIN COUNTY,WEST HARDIN COUNTY CISD,48199,100908,40.06,81.08,558.0,48.11,88.74,535.0,50.5,98.48,568.0
MARION COUNTY,WEST ISD,48309,161916,87.92,191.03,1359.0,96.39,205.89,1264.0,97.75,210.66,1239.0
ORANGE COUNTY,WEST ORANGE-COVE CISD,48361,181906,170.92,404.78,2465.0,179.71,411.33,2522.0,172.77,407.39,2560.0
NUECES COUNTY,WEST OSO ISD,48355,178915,149.17,317.65,2095.0,142.17,309.88,1977.0,152.6,329.41,1969.0
RUSK COUNTY,WEST RUSK COUNTY CONSOLIDATED ISD,48401,201914,82.43,162.05,1089.0,76.5,160.81,1027.0,77.2,166.49,1038.0
SABINE COUNTY,WEST SABINE ISD,48403,202905,50.46,95.58,613.0,49.76,95.98,569.0,50.85,93.09,560.0
MITCHELL COUNTY,WESTBROOK ISD,48335,168903,25.11,54.66,272.0,21.31,50.38,227.0,19.06,42.99,258.0
DEWITT COUNTY,WESTHOFF ISD,48123,62905,7.25,17.97,87.0,7.18,17.83,66.0,7.74,16.83,71.0
TARRANT COUNTY,WESTLAKE ACADEMY CHARTER SCHOOL,48439,220810,62.61,96.84,879.0,63.11,101.47,865.0,60.7,99.95,877.0
FALLS COUNTY,WESTPHALIA ISD,48145,73904,13.21,21.0,155.0,15.22,27.01,160.0,14.72,26.51,155.0
ANDERSON COUNTY,WESTWOOD ISD,48001,1908,123.46,247.68,1518.0,125.9,262.79,1352.0,120.64,269.1,1332.0
WHARTON COUNTY,WHARTON ISD,48481,241904,145.55,330.48,2015.0,150.48,353.61,1914.0,132.96,345.15,1966.0
WHEELER COUNTY,WHEELER ISD,48483,242903,41.0,72.68,468.0,39.88,71.88,417.0,39.1,74.53,408.0
CARSON COUNTY,WHITE DEER ISD,48065,33904,32.91,64.71,352.0,31.09,62.03,373.0,32.58,64.05,339.0
GREGG COUNTY,WHITE OAK ISD,48183,92908,116.57,195.34,1499.0,121.55,208.44,1468.0,123.24,210.4,1466.0
TARRANT COUNTY,WHITE SETTLEMENT ISD,48439,220920,423.46,730.76,6842.0,441.13,825.32,6701.0,442.67,843.66,7036.0
COCHRAN COUNTY,WHITEFACE CISD,48079,40902,31.34,60.97,313.0,31.94,59.46,339.0,32.45,60.96,313.0
SMITH COUNTY,WHITEHOUSE ISD,48423,212906,314.04,625.17,4831.0,341.82,674.54,4818.0,352.49,706.78,4906.0
GRAYSON COUNTY,WHITESBORO ISD,48181,91909,106.07,207.77,1615.0,106.5,216.49,1596.0,109.11,213.02,1720.0
GRAYSON COUNTY,WHITEWRIGHT ISD,48181,91910,64.27,108.44,862.0,66.37,111.17,743.0,62.43,108.74,755.0
HOCKLEY COUNTY,WHITHARRAL ISD,48219,110908,17.03,29.49,175.0,17.45,32.16,176.0,17.69,32.48,236.0
HILL COUNTY,WHITNEY ISD,48217,109911,111.5,257.25,1491.0,117.75,251.79,1443.0,115.13,255.44,1478.0
WICHITA COUNTY,WICHITA FALLS ISD,48485,243905,1005.94,1835.06,14094.0,1037.04,1934.87,13600.0,1030.81,1894.06,13380.0
OLDHAM COUNTY,WILDORADO ISD,48359,180904,15.49,24.94,176.0,17.51,30.61,216.0,19.96,38.22,230.0
MONTGOMERY COUNTY,WILLIS ISD,48339,170904,434.75,970.51,7493.0,442.28,973.76,7882.0,479.22,1039.02,8432.0
VAN ZANDT COUNTY,WILLS POINT ISD,48467,234907,173.2,368.17,2520.0,180.79,377.61,2467.0,186.88,380.5,2635.0
LYNN COUNTY,WILSON ISD,48305,153907,18.44,37.01,103.0,17.5,33.23,135.0,17.42,34.1,128.0
HAYS COUNTY,WIMBERLEY ISD,48209,105905,175.7,336.66,2501.0,179.08,363.08,2562.0,182.48,367.34,2613.0
ARCHER COUNTY,WINDTHORST ISD,48009,5904,35.13,65.36,403.0,35.8,65.77,434.0,36.28,71.34,530.0
WINKLER COUNTY,WINK-LOVING ISD,48495,248902,39.75,72.33,461.0,45.87,80.42,403.0,48.75,85.3,407.0
WOOD COUNTY,WINNSBORO ISD,48499,250907,111.89,225.13,1493.0,112.77,233.83,1467.0,114.48,253.33,1537.0
SMITH COUNTY,WINONA ISD,48423,212910,87.3,193.27,1098.0,92.7,210.06,1053.0,97.83,213.65,1078.0
RUNNELS COUNTY,WINTERS ISD,48399,200904,52.37,111.28,559.0,49.34,116.24,556.0,52.4,116.85,554.0
NACOGDOCHES COUNTY,WODEN ISD,48347,174906,63.81,97.81,763.0,66.0,102.83,764.0,66.0,106.0,760.0
HUNT COUNTY,WOLFE CITY ISD,48231,116909,58.29,105.9,683.0,59.06,107.28,641.0,61.25,108.65,703.0
REFUGIO COUNTY,WOODSBORO ISD,48391,196902,34.11,82.5,441.0,42.0,93.0,428.0,41.91,86.0,438.0
THROCKMORTON COUNTY,WOODSON ISD,48447,224902,18.44,29.71,144.0,14.56,26.51,161.0,15.57,26.85,160.0
TYLER COUNTY,WOODVILLE ISD,48457,229903,106.81,247.19,1285.0,115.18,267.25,1236.0,109.52,258.73,1263.0
FREESTONE COUNTY,WORTHAM ISD,48161,81905,39.03,73.36,495.0,37.88,80.55,495.0,40.37,80.69,520.0
TAYLOR COUNTY,WYLIE ISD,48441,221912,287.11,537.72,4600.0,324.73,625.0,4910.0,335.45,662.57,5108.0
WOOD COUNTY,YANTIS ISD,48499,250905,30.0,53.67,377.0,31.95,52.97,371.0,34.0,54.84,368.0
HARRIS COUNTY,YELLOWSTONE COLLEGE PREPARATORY,48201,101873,15.3,23.9,227.0,17.26,27.69,230.0,13.39,23.82,157.0
HARRIS COUNTY,YES PREP PUBLIC SCHOOLS INC,48201,101845,722.36,1228.63,11405.0,801.78,1463.85,13455.0,857.84,1580.48,14562.0
LAVACA COUNTY,YOAKUM ISD,48285,62903,146.92,364.26,1616.0,150.53,376.11,1495.0,148.58,367.43,1507.0
DEWITT COUNTY,YORKTOWN ISD,48123,62904,43.19,85.28,546.0,51.22,91.83,524.0,49.22,90.48,538.0
EL PASO COUNTY,YSLETA ISD,48141,71905,2747.52,6272.21,41064.0,2642.51,6119.42,38390.0,2546.45,5948.46,37244.0
ZAPATA COUNTY,ZAPATA COUNTY ISD,48505,253901,226.78,490.74,3522.0,227.95,519.55,3486.0,228.87,522.21,3287.0
ANGELINA COUNTY,ZAVALLA ISD,48005,3906,34.35,59.76,360.0,32.14,59.02,300.0,32.2,60.81,301.0
BROWN COUNTY,ZEPHYR ISD,48049,25906,19.48,32.99,218.0,19.97,33.55,199.0,20.48,35.56,212.0
