County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022
GUADALUPE COUNTY,SCHERTZ-CIBOLO-U CITY ISD,48187,94902,935.86,1769.9,15818.0,988.04,1813.8,15673.0,987.58,1830.06,15890.0
SCHLEICHER COUNTY,SCHLEICHER ISD,48413,207901,55.12,100.87,515.0,53.81,99.06,521.0,53.0,100.5,499.0
BEXAR COUNTY,SCHOOL OF EXCELLENCE IN EDUCATION,48029,15806,46.66,101.75,649.0,37.23,82.6,354.0,32.71,71.14,353.0
BEXAR COUNTY,SCHOOL OF SCIENCE AND TECHNOLOGY,48029,15827,130.62,180.36,1851.0,217.27,324.26,3274.0,283.28,439.82,3972.0
BEXAR COUNTY,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,48029,15831,165.68,236.01,2382.0,291.5,457.2,4805.0,363.93,571.18,5288.0
FAYETTE COUNTY,SCHULENBURG ISD,48149,75903,64.81,124.15,732.0,64.04,121.86,696.0,64.08,121.97,700.0
KAUFMAN COUNTY,SCURRY-ROSSER ISD,48257,129910,80.63,184.18,1054.0,80.0,187.77,1073.0,80.42,190.84,1085.0
GAINES COUNTY,SEAGRAVES ISD,48165,83901,43.19,99.95,577.0,45.98,104.58,510.0,40.55,103.2,519.0
AUSTIN COUNTY,SEALY ISD,48015,8902,209.28,364.08,2803.0,206.45,363.49,2814.0,203.5,371.95,2827.0
NUECES COUNTY,SEASHORE CHARTER SCHOOLS,48355,178808,33.31,51.47,487.0,36.79,58.21,499.0,37.4,59.37,495.0
GUADALUPE COUNTY,SEGUIN ISD,48187,94901,464.16,996.64,7366.0,466.14,1027.63,6899.0,485.14,1100.29,7064.0
GAINES COUNTY,SEMINOLE ISD,48165,83903,224.46,462.52,2956.0,233.39,478.21,2928.0,238.73,482.85,2961.0
HARRIS COUNTY,SER-NINOS CHARTER SCHOOL,48201,101802,64.31,103.96,1129.0,68.48,102.45,1095.0,65.53,98.0,1009.0
BAYLOR COUNTY,SEYMOUR ISD,48023,12901,49.6,96.53,582.0,49.79,95.34,621.0,54.0,104.21,620.0
LUBBOCK COUNTY,SHALLOWATER ISD,48303,152909,134.69,274.37,1694.0,137.66,279.3,1682.0,133.78,272.62,1746.0
WHEELER COUNTY,SHAMROCK ISD,48483,242902,40.41,86.24,367.0,41.58,87.77,407.0,42.99,92.5,382.0
HIDALGO COUNTY,SHARYLAND ISD,48215,108911,637.3,1327.34,10285.0,631.13,1333.18,9765.0,629.85,1366.42,9503.0
