ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
CAMERON ISD,Texas,4812640,4,4,TX-166901,1569,111.45,239.65
CAMPBELL ISD,Texas,4812660,2,2,TX-116910,303,32.11,60.91
CANADIAN ISD,Texas,4812700,4,4,TX-106901,841,82.89,151.26
CANTON ISD,Texas,4812750,4,4,TX-234902,2284,156.99,259.63
CANUTILLO ISD,Texas,4812780,10,11,TX-071907,6091,414.32,954.45
CANYON ISD,Texas,4812810,19,21,TX-191901,10711,663.16,1305.89
CARLISLE ISD,Texas,4812870,1,1,TX-201913,608,59.99,121.59
CARRIZO SPRINGS CISD,Texas,4812990,4,4,TX-064903,1923,145.25,346.56
CARROLL ISD,Texas,4813020,11,12,TX-220919,8389,569.63,1041.08
CARROLLTON-FARMERS BRANCH ISD,Texas,4813050,39,41,TX-057903,24939,1828.19,3543.01
CARTHAGE ISD,Texas,4813110,5,5,TX-183902,2674,190.60,344.22
CASTLEBERRY ISD,Texas,4813170,8,8,TX-220917,3639,241.52,539.54
CAYUGA ISD,Texas,4813200,3,3,TX-001902,576,46.70,121.36
CEDAR HILL ISD,Texas,4813230,12,13,TX-057904,7120,433.08,824.66
CEDARS INTERNATIONAL ACADEMY,Texas,4800232,2,2,TX-227817,496,45.50,77.28
CELESTE ISD,Texas,4813260,3,3,TX-116902,485,46.88,92.78
CELINA ISD,Texas,4813290,6,6,TX-043903,3359,227.94,459.81
CENTER ISD,Texas,4813320,5,5,TX-210901,2525,192.78,384.99
CENTER POINT ISD,Texas,4813350,3,4,TX-133901,535,42.38,104.74
CENTERVILLE ISD,Texas,4813410,2,2,TX-145902,715,62.99,119.02
CENTERVILLE ISD,Texas,4813380,1,1,TX-228904,138,17.00,32.44
CENTRAL HEIGHTS ISD,Texas,4813440,3,3,TX-174908,1137,97.60,197.98
CENTRAL ISD,Texas,4813500,4,4,TX-003907,1455,117.51,252.51
CHANNELVIEW ISD,Texas,4813590,13,14,TX-101905,9509,601.71,1356.23
CHANNING ISD,Texas,4813620,1,1,TX-103901,163,20.00,34.42
CHAPARRAL STAR ACADEMY,Texas,4800064,1,1,TX-227814,354,25.95,32.24
CHAPEL HILL ACADEMY,Texas,4801407,1,1,TX-220815,693,45.05,71.88
CHAPEL HILL ISD,Texas,4813650,5,5,TX-212909,3397,248.42,541.83
CHAPEL HILL ISD,Texas,4813680,3,3,TX-225906,1046,79.99,165.03
CHARLOTTE ISD,Texas,4813710,3,5,TX-007901,397,47.47,91.33
CHEROKEE ISD,Texas,4813740,1,1,TX-206903,128,17.43,28.60
CHESTER ISD,Texas,4813770,2,2,TX-229906,213,21.29,37.75
CHICO ISD,Texas,4813800,3,3,TX-249904,576,49.32,85.59
CHILDRESS ISD,Texas,4813860,3,3,TX-038901,1014,88.53,177.51
CHILLICOTHE ISD,Texas,4813890,1,1,TX-099902,199,20.98,43.03
CHILTON ISD,Texas,4813920,1,1,TX-073901,547,41.36,94.81
CHINA SPRING ISD,Texas,4813960,5,7,TX-161920,2958,209.86,377.84
CHIRENO ISD,Texas,4813980,2,3,TX-174901,408,36.46,61.30
CHISUM ISD,Texas,4800012,3,3,TX-139905,1145,96.27,171.72
CHRISTOVAL ISD,Texas,4814010,2,8,TX-226901,566,53.40,81.57
CISCO ISD,Texas,4814070,4,4,TX-067902,814,83.30,159.09
CITY VIEW ISD,Texas,4814130,3,3,TX-243906,1121,92.35,189.57
CITYSCAPE SCHOOLS,Texas,4800288,2,2,TX-057841,1256,56.01,154.19
CLARENDON ISD,Texas,4814160,3,3,TX-065901,456,47.65,91.21
CLARKSVILLE ISD,Texas,4814190,2,2,TX-194904,523,47.52,119.33
CLAUDE ISD,Texas,4814250,1,1,TX-006902,307,29.76,50.24
CLEAR CREEK ISD,Texas,4814280,46,48,TX-084910,40832,2572.59,5296.60
CLEBURNE ISD,Texas,4814310,11,12,TX-126903,7068,513.32,1039.63
CLEVELAND ISD,Texas,4814370,9,11,TX-146901,10860,635.99,1338.86
CLIFTON ISD,Texas,4814400,3,3,TX-018901,1025,81.38,164.88
CLINT ISD,Texas,4814430,14,15,TX-071901,10494,689.10,1558.02
CLYDE CISD,Texas,4814450,4,4,TX-030902,1435,110.94,228.56
COAHOMA ISD,Texas,4814490,3,3,TX-114902,1086,75.99,166.74
COLDSPRING-OAKHURST CISD,Texas,4814520,4,4,TX-204901,1591,114.88,284.36
COLEMAN ISD,Texas,4814550,3,3,TX-042901,802,69.58,157.10
COLLEGE STATION ISD,Texas,4807350,20,20,TX-021901,14187,1009.68,1963.12
COLLINSVILLE ISD,Texas,4814580,2,2,TX-091902,560,47.89,89.63
COLMESNEIL ISD,Texas,4814600,2,2,TX-229901,453,35.06,63.41
COLORADO ISD,Texas,4814640,3,3,TX-168901,896,68.19,169.34
COLUMBIA-BRAZORIA ISD,Texas,4814670,5,6,TX-020907,2919,193.24,430.74
COLUMBUS ISD,Texas,4814700,4,4,TX-045902,1580,115.91,226.64
COMAL ISD,Texas,4814730,37,40,TX-046902,27288,1710.47,3296.24
COMANCHE ISD,Texas,4814760,4,4,TX-047901,1304,108.31,225.59
COMFORT ISD,Texas,4814790,3,3,TX-130902,1067,85.36,145.46
COMMERCE ISD,Texas,4814820,4,4,TX-116903,1442,128.13,260.04
COMMUNITY ISD,Texas,4814850,6,9,TX-043918,3349,196.21,395.62
COMO-PICKTON CISD,Texas,4814880,1,1,TX-112908,725,62.59,121.87
COMPASS ACADEMY CHARTER SCHOOL,Texas,4801417,1,1,TX-068802,1371,82.32,120.32
COMPASS ROSE PUBLIC SCHOOLS,TEXAS,4801457,5,5,TX-015838,1836,113.76,210.40
COMQUEST ACADEMY,Texas,4800127,1,1,TX-101842,44,3.18,7.30
COMSTOCK ISD,Texas,4814920,1,1,TX-233903,240,18.70,35.28
CONNALLY ISD,Texas,4814970,6,6,TX-161921,2270,189.04,424.50
CONROE ISD,Texas,4815000,64,65,TX-170902,67761,4239.57,8497.67
COOLIDGE ISD,Texas,4815120,2,2,TX-147901,303,30.44,54.59
COOPER ISD,Texas,4815150,3,3,TX-060902,849,68.97,126.90
COPPELL ISD,Texas,4815210,16,18,TX-057922,13131,855.70,1424.10
COPPERAS COVE ISD,Texas,4815240,11,11,TX-050910,8112,577.02,1288.31
CORPUS CHRISTI ISD,Texas,4815270,57,58,TX-178904,33175,2151.88,4522.31
CORPUS CHRISTI MONTESSORI SCHOOL,Texas,4800279,1,1,TX-178807,121,9.53,20.53
CORRIGAN-CAMDEN ISD,Texas,4815300,3,3,TX-187904,819,65.64,154.40
CORSICANA ISD,Texas,4815330,8,8,TX-175903,6006,401.22,857.00
COTTON CENTER ISD,Texas,4815360,1,1,TX-095902,99,13.94,30.69
COTULLA ISD,Texas,4815400,4,4,TX-142901,1172,110.07,257.01
COUPLAND ISD,Texas,4815420,1,1,TX-246914,263,20.82,38.58
COVINGTON ISD,Texas,4815480,1,2,TX-109903,302,23.70,83.98
CRANDALL ISD,Texas,4815510,8,8,TX-129901,5451,341.12,646.36
CRANE ISD,Texas,4815540,3,3,TX-052901,1151,82.54,170.94
CRANFILLS GAP ISD,Texas,4815570,1,1,TX-018908,132,15.51,29.40
CRAWFORD ISD,Texas,4815600,2,3,TX-161901,558,53.78,88.58
CROCKETT COUNTY CONSOLIDATED CSD,Texas,4815690,3,3,TX-053001,729,66.68,136.44
CROCKETT ISD,Texas,4815720,4,4,TX-113901,1190,87.76,185.31
CROSBY ISD,Texas,4815750,9,10,TX-101906,6480,416.61,772.29
CROSBYTON CISD,Texas,4800001,3,4,TX-054901,331,33.96,63.69
CROSS PLAINS ISD,Texas,4815810,2,2,TX-030901,379,35.93,65.01
CROSS ROADS ISD,Texas,4815840,3,3,TX-107904,538,52.54,99.91
CROSSTIMBERS ACADEMY,Texas,4800278,1,1,TX-184801,149,8.93,18.97
CROWELL ISD,Texas,4815870,1,1,TX-078901,192,22.64,46.13
CROWLEY ISD,Texas,4815910,22,23,TX-220912,16278,1208.48,2043.29
CRYSTAL CITY ISD,Texas,4815930,5,5,TX-254901,1785,111.74,306.33
CUERO ISD,Texas,4815960,4,4,TX-062901,1928,159.64,353.39
CULBERSON COUNTY-ALLAMOORE ISD,Texas,4815990,1,1,TX-055901,360,34.48,73.95
CUMBERLAND ACADEMY,Texas,4800034,4,5,TX-212801,1926,161.60,257.72
CUMBY ISD,Texas,4816020,2,2,TX-112905,435,41.30,72.25
CUSHING ISD,Texas,4816080,2,2,TX-174902,556,43.01,78.10
CYPRESS-FAIRBANKS ISD,Texas,4816110,90,91,TX-101907,117217,7682.15,15451.56
D'HANIS ISD,Texas,4816140,1,1,TX-163902,296,26.37,51.90
DAINGERFIELD-LONE STAR ISD,Texas,4816180,4,4,TX-172902,995,91.61,215.43
DALHART ISD,Texas,4816200,4,4,TX-056901,1735,128.91,217.74
DALLAS ISD,Texas,4816230,237,246,TX-057905,143558,9873.50,20752.11
DAMON ISD,Texas,4816260,1,2,TX-020910,116,12.68,21.62
DANBURY ISD,Texas,4816290,3,4,TX-020904,774,65.72,120.59
DARROUZETT ISD,Texas,4816320,1,1,TX-148905,150,18.56,34.12
DAWSON ISD,Texas,4816380,3,3,TX-175904,526,43.80,99.52
DAWSON ISD,Texas,4816350,1,1,TX-058902,149,11.89,27.33
DAYTON ISD,Texas,4816410,7,7,TX-146902,5619,359.27,792.40
DE LEON ISD,Texas,4816440,3,3,TX-047902,754,63.28,143.08
DECATUR ISD,Texas,4816500,6,6,TX-249905,3616,237.75,481.85
DEER PARK ISD,Texas,4816530,14,15,TX-101908,12345,838.31,1910.79
DEKALB ISD,Texas,4816570,3,3,TX-019901,783,71.61,132.69
DEL VALLE ISD,Texas,4816620,14,15,TX-227910,11078,769.72,1699.64
DELL CITY ISD,Texas,4816650,1,1,TX-115903,70,8.70,25.90
DENISON ISD,Texas,4816710,9,9,TX-091903,4677,346.37,590.47
DENTON ISD,Texas,4816740,43,47,TX-061901,31951,2411.61,4372.10
DENVER CITY ISD,Texas,4816770,4,4,TX-251901,1601,121.38,267.51
DESOTO ISD,Texas,4816860,10,11,TX-057906,7344,447.26,873.10
DETROIT ISD,Texas,4816890,3,3,TX-194905,530,50.30,134.11
DEVERS ISD,Texas,4816920,2,3,TX-146903,216,12.73,24.16
DEVINE ISD,Texas,4816950,5,6,TX-163901,1965,133.20,280.18
DEW ISD,Texas,4816980,1,1,TX-081906,133,19.00,35.27
DEWEYVILLE ISD,Texas,4817010,2,2,TX-176903,530,50.36,102.24
DIBOLL ISD,Texas,4817040,6,6,TX-003905,1749,137.52,294.72
DICKINSON ISD,Texas,4817070,18,18,TX-084901,11933,833.98,1720.73
DILLEY ISD,Texas,4817100,3,3,TX-082902,909,68.56,167.81
DIME BOX ISD,Texas,4817130,1,1,TX-144903,181,16.50,33.30
DIMMITT ISD,Texas,4817160,3,3,TX-035901,1158,98.68,248.70
DIVIDE ISD,Texas,4817190,1,1,TX-133905,32,1.97,7.73
DODD CITY ISD,Texas,4817280,1,1,TX-074904,328,27.46,49.18
DONNA ISD,Texas,4817390,24,24,TX-108902,13061,974.67,2319.53
DORAL ACADEMY OF TEXAS,TEXAS,4801474,="0",1,TX-105804,†,†,†
DOSS CONSOLIDATED CSD,Texas,4817400,1,1,TX-086024,24,3.00,5.79
DOUGLASS ISD,Texas,4817460,1,1,TX-174911,457,40.58,65.81
DR M L GARZA-GONZALEZ CHARTER SCHOOL,Texas,4800025,1,1,TX-178801,166,14.49,34.33
DRAW ACADEMY,Texas,4800263,1,1,TX-101856,692,30.64,83.65
DRIPPING SPRINGS ISD,Texas,4800008,8,8,TX-105904,8001,545.39,1020.06
DRISCOLL ISD,Texas,4817550,1,1,TX-178905,277,23.35,49.86
DUBLIN ISD,Texas,4817580,3,3,TX-072902,1089,91.64,196.18
DUMAS ISD,Texas,4817610,9,9,TX-171901,4281,322.89,646.16
DUNCANVILLE ISD,Texas,4817640,19,19,TX-057907,11946,807.25,1791.54
EAGLE MT-SAGINAW ISD,Texas,4817700,29,30,TX-220918,22464,1427.62,2672.63
EAGLE PASS ISD,Texas,4817730,24,24,TX-159901,13385,807.69,1807.49
EANES ISD,Texas,4817760,10,12,TX-227909,7834,599.84,1083.03
EARLY ISD,Texas,4817790,4,4,TX-025909,1143,102.77,196.07
EAST BERNARD ISD,Texas,4817830,3,3,TX-241902,965,82.50,131.04
EAST CENTRAL ISD,Texas,4817850,15,16,TX-015911,10006,588.49,1253.01
