,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
10859,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10860,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10861,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10862,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10863,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10864,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10865,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10866,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10867,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10868,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10869,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10870,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10871,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10872,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10873,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10874,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10875,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10876,MULESHOE ISD,48017.0,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
10877,MULLIN ISD,48333.0,167902,35.74,82.32,340.0,33.63,72.41,217.0
10878,MUMFORD ISD,48395.0,198906,37.99,70.66,612.0,39.99,72.81,615.0
10879,MUNDAY CISD,48275.0,138903,35.99,75.16,392.0,41.44,76.36,396.0
10880,MURCHISON ISD,48213.0,107908,16.19,28.17,180.0,16.57,32.7,168.0
10881,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10882,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10883,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10884,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10885,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10886,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10887,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10888,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10889,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10890,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10891,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10892,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10893,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10894,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10895,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10896,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10897,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10898,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10899,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10900,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10901,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10902,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10903,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10904,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10905,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10906,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10907,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10908,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10909,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10910,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10911,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10912,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10913,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10914,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10915,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
