County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
LIPSCOMB COUNTY,BOOKER ISD,48295,148901,38.36,69.86,396.0,39.73,72.58,362.0
BORDEN COUNTY,BORDEN COUNTY ISD,48033,17901,20.1,45.89,214.0,21.87,51.3,231.0
HUTCHINSON COUNTY,BORGER ISD,48233,117901,192.09,439.51,2694.0,194.8,453.08,2472.0
MARION COUNTY,BOSQUEVILLE ISD,48309,161923,57.93,101.66,699.0,59.79,109.93,729.0
PARMER COUNTY,BOVINA ISD,48369,185901,45.15,87.63,500.0,44.47,87.46,465.0
MONTAGUE COUNTY,BOWIE ISD,48337,169901,122.29,250.73,1716.0,125.73,252.2,1693.0
WISE COUNTY,BOYD ISD,48497,249902,94.75,170.37,1341.0,93.34,175.43,1267.0
OLDHAM COUNTY,BOYS RANCH ISD,48359,180901,54.83,84.01,309.0,55.62,86.72,206.0
KINNEY COUNTY,BRACKETT ISD,48271,136901,57.81,116.13,560.0,58.88,113.54,519.0
MADISON COUNTY,BRADY ISD,48307,160901,98.97,205.09,1146.0,88.3,187.1,991.0
AUSTIN COUNTY,BRAZOS ISD,48015,8903,62.35,121.78,827.0,64.43,128.53,795.0
SOMERVELL COUNTY,BRAZOS RIVER CHARTER SCHOOL,48425,213801,15.5,34.68,238.0,19.32,38.98,207.0
BRAZOS COUNTY,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,48041,21803,30.0,55.07,411.0,29.21,55.05,327.0
BRAZORIA COUNTY,BRAZOSPORT ISD,48039,20905,843.51,1760.56,12417.0,874.71,1842.33,11424.0
STEPHENS COUNTY,BRECKENRIDGE ISD,48429,215901,110.24,227.22,1481.0,99.87,229.69,1402.0
ROBERTSON COUNTY,BREMOND ISD,48395,198901,40.43,79.15,487.0,41.88,78.81,494.0
WASHINGTON COUNTY,BRENHAM ISD,48477,239901,366.19,695.77,5062.0,377.9,707.65,4944.0
ORANGE COUNTY,BRIDGE CITY ISD,48361,181901,192.56,360.34,3057.0,191.4,367.44,3028.0
WISE COUNTY,BRIDGEPORT ISD,48497,249903,161.2,319.67,2078.0,163.61,333.09,2051.0
SAN AUGUSTINE COUNTY,BROADDUS ISD,48405,203902,37.05,70.54,396.0,35.73,70.64,351.0
PARKER COUNTY,BROCK ISD,48367,184909,106.5,184.87,1510.0,129.07,219.38,1765.0
COKE COUNTY,BRONTE ISD,48081,41901,25.58,44.36,243.0,28.0,47.18,240.0
SABINE COUNTY,BROOKELAND ISD,48403,121902,38.92,72.13,394.0,37.92,69.42,368.0
BROWN COUNTY,BROOKESMITH ISD,48049,25908,15.51,34.49,165.0,18.0,33.95,158.0
BEXAR COUNTY,BROOKS ACADEMIES OF TEXAS,48029,15830,177.71,323.83,3322.0,195.92,396.41,3079.0
BROOKS COUNTY,BROOKS COUNTY ISD,48047,24901,102.61,217.89,1568.0,102.61,214.46,1438.0
TERRY COUNTY,BROWNFIELD ISD,48445,223901,124.73,274.87,1730.0,125.57,288.66,1598.0
HENDERSON COUNTY,BROWNSBORO ISD,48213,107902,189.8,399.69,2734.0,193.96,401.71,2593.0
CAMERON COUNTY,BROWNSVILLE ISD,48061,31901,2911.52,6618.26,44402.0,2753.73,6265.69,40765.0
BROWN COUNTY,BROWNWOOD ISD,48049,25902,262.07,500.03,3655.0,256.96,486.37,3439.0
MARION COUNTY,BRUCEVILLE-EDDY ISD,48309,161919,69.57,138.28,645.0,66.15,132.9,614.0
BRAZOS COUNTY,BRYAN ISD,48041,21902,1142.26,2439.12,15938.0,1198.97,2619.49,15761.0
JACK COUNTY,BRYSON ISD,48237,119901,21.88,41.11,253.0,21.13,41.32,260.0
MILAM COUNTY,BUCKHOLTS ISD,48331,166907,14.43,29.11,133.0,13.73,30.57,141.0
PECOS COUNTY,BUENA VISTA ISD,48371,186901,18.26,30.0,255.0,19.95,33.0,240.0
LEON COUNTY,BUFFALO ISD,48289,145901,77.89,150.42,945.0,79.8,155.68,947.0
CHEROKEE COUNTY,BULLARD ISD,48073,212902,200.68,366.06,2587.0,204.38,396.42,2675.0
JASPER COUNTY,BUNA ISD,48241,121903,126.21,274.43,1495.0,121.96,274.09,1492.0
WICHITA COUNTY,BURKBURNETT ISD,48485,243901,244.86,476.72,3227.0,255.64,486.61,3199.0
NEWTON COUNTY,BURKEVILLE ISD,48351,176901,22.85,57.25,276.0,25.73,55.04,269.0
JOHNSON COUNTY,BURLESON ISD,48251,126902,779.55,1549.58,12447.0,813.31,1587.08,12547.0
BURNET COUNTY,BURNET CISD,48053,27903,214.23,465.61,3201.0,217.48,477.51,3113.0
EL PASO COUNTY,BURNHAM WOOD CHARTER SCHOOL DISTRICT,48141,71801,50.77,90.57,850.0,70.57,142.86,1252.0
WASHINGTON COUNTY,BURTON ISD,48477,239903,39.01,72.23,437.0,44.99,81.83,481.0
POTTER COUNTY,BUSHLAND ISD,48375,188904,120.51,194.49,1427.0,118.91,193.07,1448.0
