County #,Confirmed Deaths 09/28/20,Confirmed Deaths 10/30/20,Confirmed Deaths 01/29/21,Confirmed Cases 09/28/20,Confirmed Cases 10/30/20,Confirmed Cases 01/29/21,County Population
48383,6,6,8,87,95,356,3849
48385,8,8,12,118,125,280,3452
48387,14,17,35,162,202,591,12023
48389,8,10,40,196,279,1574,15976
48391,15,17,17,307,312,575,6948
48393,0,0,1,9,14,53,854
48395,4,6,30,309,435,1128,17074
48397,29,34,115,1629,1984,9264,104915
48399,7,8,33,270,302,1182,10264
48401,21,29,87,962,1036,3297,54406
48403,9,10,37,78,102,470,10542
48405,15,16,29,201,221,511,8237
48407,11,14,24,227,241,739,28859
48409,79,82,127,1466,1572,3658,66730
48411,0,4,18,65,118,551,6055
48413,2,2,6,53,55,213,2793
48415,8,16,57,646,1125,2374,16703
48417,0,0,2,25,40,229,3265
48419,27,35,49,480,554,1384,25274
48421,1,2,12,63,77,126,3022
48423,120,161,391,3766,4594,17205,232751
48425,5,5,9,143,159,977,9128
48427,177,187,245,3409,3580,8207,64633
48429,4,5,22,134,165,714,9366
48431,0,0,4,5,20,102,1291
48433,1,1,6,14,21,147,1350
48435,3,3,6,81,112,432,3776
48437,3,5,15,109,149,710,7397
48439,761,904,2430,45851,59672,213611,2102515
48441,58,80,339,1485,2197,14214,138034
48443,0,0,2,3,4,80,776
48445,5,11,52,242,589,1621,12337
48447,2,2,5,8,19,68,1501
48449,32,38,75,1459,1609,3274,32750
48451,72,86,238,2257,2635,12091,119200
48453,437,459,816,29252,31943,67566,1273954
48455,7,8,21,196,208,570,14651
48457,5,5,32,216,271,1084,21672
48459,11,16,55,389,511,2818,41753
48461,2,4,7,25,27,344,3657
48463,34,36,51,785,839,3111,26741
48465,127,141,195,2186,2562,7072,49025
48467,22,28,102,586,714,3478,56590
48469,97,101,162,4046,4291,7317,92084
48471,58,67,110,3709,3927,7614,72971
48473,15,17,36,856,1005,2938,55246
48475,1,3,21,128,172,1017,11998
48477,48,50,77,640,710,1757,35882
48479,309,361,687,13697,15371,38923,276652
48481,57,61,98,1364,1441,3348,41556
48483,0,0,9,48,86,446,5056
48485,26,65,330,1741,3922,13844,132230
48487,2,6,50,188,371,1773,12769
48489,54,58,71,1213,1239,2151,21358
48491,144,160,364,8565,9529,35165,590551
48493,28,28,54,892,1007,3189,51070
48495,4,5,18,115,150,672,8010
48497,15,17,104,760,959,6091,69984
48499,29,42,111,525,655,2889,45539
48501,5,8,24,224,319,847,8713
48503,6,12,39,314,605,1888,18010
48505,9,9,28,333,357,1499,14179
48507,18,21,35,357,470,1468,11840
