District #,Grade,Subject,Group,District,County #,County,% Operational Schools 2019,% Operational Schools 2021,% County Infected 09/28/20,% County Deaths 09/28/20,% On Campus 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% On Campus 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% On Campus 01/29/21,% Average Daily Attendance 2019,% Average Daily Attendance 2021,Teachers:Students 2019,Teachers:Students 2021,% School-Wide Title 1 2019,% School-Wide Title 1 2021,% Title 1 Eligible 2019,% Title 1 Eligible 2021,% Not Title 1 2019,% Grade 2019,% Group 2019,% Tested 2019,% Grade 2021,% Group 2021,% Tested 2021,% Loss
227825.0,3,Reading,All,AUSTIN ACHIEVE PUBLIC SCHOOLS,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.0023062730627306273,0.02507390376732598,0.000360295583670996,0.17348837209302326,0.053036451865608965,0.0006405254820817706,0.3526413345690454,0.4975064267352185,,0.06287275064267352,,0.5,,0.5,,1.0,0.06619537275064268,0.06298200514138817,1.0,,,1.0,-0.011228734670344938
227901.0,3,Reading,All,AUSTIN ISD,48453.0,TRAVIS COUNTY,0.9774436090225563,,0.022961582600313668,0.00034302651430114433,0.00428519937524196,0.02507390376732598,0.000360295583670996,0.23820440368928933,0.053036451865608965,0.0006405254820817706,0.0,0.9234591163534586,,0.06921756297481008,,0.007518796992481203,,0.007518796992481203,,132.0,0.07534486205517793,0.06342463014794082,1.0,,,1.0,0.0293462937262409
227910.0,3,Reading,All,DEL VALLE ISD,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.00631003955547184,0.02507390376732598,0.000360295583670996,0.44424679337140716,0.053036451865608965,0.0006405254820817706,0.2975080844588168,0.9373192272309108,,0.07469641214351426,,0.06666666666666667,,0.06666666666666667,,14.0,0.06936522539098436,0.049954001839926404,1.0,,,1.0,0.034098524513073485
227909.0,3,Reading,All,EANES ISD,48453.0,TRAVIS COUNTY,0.9166666666666666,,0.022961582600313668,0.00034302651430114433,0.4745933677972513,0.02507390376732598,0.000360295583670996,0.573474001507159,0.053036451865608965,0.0006405254820817706,0.36063936063936064,0.9514473684210526,,0.0737444663059518,,0.0,,0.0,,12.0,0.06898671913428431,0.0692326610919823,1.0,,,1.0,0.026856339397305935
227816.0,3,Reading,All,HARMONY PUBLIC SCHOOLS - CENTRAL T,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.06354810238305383,0.02507390376732598,0.000360295583670996,0.14418398938522778,0.053036451865608965,0.0006405254820817706,0.1578125,0.9220347826086956,,0.06565465838509317,,0.14285714285714285,,0.14285714285714285,,6.0,0.07875776397515528,0.07925465838509317,1.0,,,1.0,0.03444632610322748
227912.0,3,Reading,All,LAGO VISTA ISD,48453.0,TRAVIS COUNTY,0.8,,0.022961582600313668,0.00034302651430114433,0.5562539283469516,0.02507390376732598,0.000360295583670996,0.6594427244582043,0.053036451865608965,0.0006405254820817706,0.6820987654320988,0.9140392156862746,,0.06103921568627451,,0.0,,0.2,,4.0,0.06470588235294118,0.06666666666666667,1.0,,,1.0,0.032435275153763744
227913.0,3,Reading,All,LAKE TRAVIS ISD,48453.0,TRAVIS COUNTY,0.75,,0.022961582600313668,0.00034302651430114433,0.6439055520102106,0.02507390376732598,0.000360295583670996,0.6426560087201381,0.053036451865608965,0.0006405254820817706,0.6982805429864254,0.9132985658409387,,0.05611473272490221,,0.0,,0.0,,12.0,0.07133544421680015,0.06919351834606072,1.0,,,1.0,0.02581419024838749
227907.0,3,Reading,All,MANOR ISD,48453.0,TRAVIS COUNTY,0.9411764705882353,,0.022961582600313668,0.00034302651430114433,0.0028239383078092757,0.02507390376732598,0.000360295583670996,0.38876936316695354,0.053036451865608965,0.0006405254820817706,0.3410727722240138,0.8732114551410759,,0.06618091514318926,,0.058823529411764705,,0.058823529411764705,,16.0,0.07217584275599705,0.06382753883546444,1.0,,,1.0,0.045549821511718165
227804.0,3,Reading,All,NYOS CHARTER SCHOOL,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.017757009345794394,0.02507390376732598,0.000360295583670996,0.21985157699443414,0.053036451865608965,0.0006405254820817706,0.25812441968430827,0.9024090462143559,,0.08182890855457227,,0.5,,0.5,,1.0,0.07177974434611603,0.07177974434611603,1.0,,,1.0,0.026321249141576672
227904.0,3,Reading,All,PFLUGERVILLE ISD,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.25811425182842457,0.02507390376732598,0.000360295583670996,0.4274588078744472,0.053036451865608965,0.0006405254820817706,0.49192410224243377,0.931248966738831,,0.07161031293052549,,0.0,,0.0,,32.0,0.07549694941940563,0.066404251131667,1.0,,,1.0,0.025981902017715157
